# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\djaye\OneDrive\Campus\ODU\Fall2019\ECE487\Work\Work\PUF_AES_PUF\PUF_AES_PUF.csv
# Generated on: Sun Sep 15 01:22:24 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
H2[1],Output,PIN_AB17,4A,B4A_N0,PIN_AJ4,,,,,,,,,,,,,,
H2[0],Output,PIN_AA21,4A,B4A_N0,PIN_C13,,,,,,,,,,,,,,
H3[6],Output,PIN_AD20,4A,B4A_N0,PIN_J9,,,,,,,,,,,,,,
H3[5],Output,PIN_AA19,4A,B4A_N0,PIN_AG18,,,,,,,,,,,,,,
H3[4],Output,PIN_AC20,4A,B4A_N0,PIN_AF18,,,,,,,,,,,,,,
H3[3],Output,PIN_AA20,4A,B4A_N0,PIN_AF4,,,,,,,,,,,,,,
H3[2],Output,PIN_AD19,4A,B4A_N0,PIN_AH9,,,,,,,,,,,,,,
H3[1],Output,PIN_W19,4A,B4A_N0,PIN_B12,,,,,,,,,,,,,,
H3[0],Output,PIN_Y19,4A,B4A_N0,PIN_AK19,,,,,,,,,,,,,,
H5[6],Output,PIN_AB21,4A,B4A_N0,PIN_AK22,,,,,,,,,,,,,,
H5[5],Output,PIN_AF19,4A,B4A_N0,PIN_V18,,,,,,,,,,,,,,
H5[4],Output,PIN_AE19,4A,B4A_N0,PIN_W19,,,,,,,,,,,,,,
H5[3],Output,PIN_AG20,4A,B4A_N0,PIN_AD21,,,,,,,,,,,,,,
H5[2],Output,PIN_AF20,4A,B4A_N0,PIN_AJ27,,,,,,,,,,,,,,
H5[1],Output,PIN_AG21,4A,B4A_N0,PIN_AJ24,,,,,,,,,,,,,,
H5[0],Output,PIN_AF21,4A,B4A_N0,PIN_Y17,,,,,,,,,,,,,,
LEDS[1],Output,PIN_AB23,5A,B5A_N0,PIN_AG12,,,,,,,,,,,,,,
LEDS[0],Output,PIN_AA24,5A,B5A_N0,PIN_AK12,,,,,,,,,,,,,,
MODE[1],Input,,,,PIN_AA20,,,,,,,,,,,,,,
MODE[0],Input,,,,PIN_Y19,,,,,,,,,,,,,,
Response[127],Output,,,,PIN_V16,,,,,,,,,,,,,,
Response[126],Output,,,,PIN_AF16,,,,,,,,,,,,,,
Response[125],Output,,,,PIN_AE13,,,,,,,,,,,,,,
Response[124],Output,,,,PIN_H13,,,,,,,,,,,,,,
Response[123],Output,,,,PIN_AA19,,,,,,,,,,,,,,
Response[122],Output,,,,PIN_AB22,,,,,,,,,,,,,,
Response[121],Output,,,,PIN_Y26,,,,,,,,,,,,,,
Response[120],Output,,,,PIN_AF21,,,,,,,,,,,,,,
Response[119],Output,,,,PIN_AA21,,,,,,,,,,,,,,
Response[118],Output,,,,PIN_AB28,,,,,,,,,,,,,,
Response[117],Output,,,,PIN_AH25,,,,,,,,,,,,,,
Response[116],Output,,,,PIN_AA24,,,,,,,,,,,,,,
Response[115],Output,,,,PIN_AK27,,,,,,,,,,,,,,
Response[114],Output,,,,PIN_W25,,,,,,,,,,,,,,
Response[113],Output,,,,PIN_AB23,,,,,,,,,,,,,,
Response[112],Output,,,,PIN_AD29,,,,,,,,,,,,,,
Response[111],Output,,,,PIN_AE11,,,,,,,,,,,,,,
Response[110],Output,,,,PIN_AF5,,,,,,,,,,,,,,
Response[109],Output,,,,PIN_AJ7,,,,,,,,,,,,,,
Response[108],Output,,,,PIN_C5,,,,,,,,,,,,,,
Response[107],Output,,,,PIN_AE28,,,,,,,,,,,,,,
Response[106],Output,,,,PIN_AC25,,,,,,,,,,,,,,
Response[105],Output,,,,PIN_AD26,,,,,,,,,,,,,,
Response[104],Output,,,,PIN_AH28,,,,,,,,,,,,,,
Response[103],Output,,,,PIN_AF23,,,,,,,,,,,,,,
Response[102],Output,,,,PIN_AC20,,,,,,,,,,,,,,
Response[101],Output,,,,PIN_AC18,,,,,,,,,,,,,,
Response[100],Output,,,,PIN_AC28,,,,,,,,,,,,,,
Response[99],Output,,,,PIN_AH29,,,,,,,,,,,,,,
Response[98],Output,,,,PIN_AG30,,,,,,,,,,,,,,
Response[97],Output,,,,PIN_Y24,,,,,,,,,,,,,,
Response[96],Output,,,,PIN_AJ20,,,,,,,,,,,,,,
Response[95],Output,,,,PIN_AJ6,,,,,,,,,,,,,,
Response[94],Output,,,,PIN_AH19,,,,,,,,,,,,,,
Response[93],Output,,,,PIN_AG7,,,,,,,,,,,,,,
Response[92],Output,,,,PIN_G10,,,,,,,,,,,,,,
Response[91],Output,,,,PIN_AD30,,,,,,,,,,,,,,
Response[90],Output,,,,PIN_AA28,,,,,,,,,,,,,,
Response[89],Output,,,,PIN_AJ25,,,,,,,,,,,,,,
Response[88],Output,,,,PIN_AH24,,,,,,,,,,,,,,
Response[87],Output,,,,PIN_W22,,,,,,,,,,,,,,
Response[86],Output,,,,PIN_AC29,,,,,,,,,,,,,,
Response[85],Output,,,,PIN_Y23,,,,,,,,,,,,,,
Response[84],Output,,,,PIN_AB30,,,,,,,,,,,,,,
Response[83],Output,,,,PIN_W20,,,,,,,,,,,,,,
Response[82],Output,,,,PIN_AF24,,,,,,,,,,,,,,
Response[81],Output,,,,PIN_AE27,,,,,,,,,,,,,,
Response[80],Output,,,,PIN_AC22,,,,,,,,,,,,,,
Response[79],Output,,,,PIN_K14,,,,,,,,,,,,,,
Response[78],Output,,,,PIN_B6,,,,,,,,,,,,,,
Response[77],Output,,,,PIN_AC12,,,,,,,,,,,,,,
Response[76],Output,,,,PIN_A9,,,,,,,,,,,,,,
Response[75],Output,,,,PIN_W15,,,,,,,,,,,,,,
Response[74],Output,,,,PIN_AH22,,,,,,,,,,,,,,
Response[73],Output,,,,PIN_AJ29,,,,,,,,,,,,,,
Response[72],Output,,,,PIN_AA18,,,,,,,,,,,,,,
Response[71],Output,,,,PIN_AE22,,,,,,,,,,,,,,
Response[70],Output,,,,PIN_AG27,,,,,,,,,,,,,,
Response[69],Output,,,,PIN_AF29,,,,,,,,,,,,,,
Response[68],Output,,,,PIN_AD24,,,,,,,,,,,,,,
Response[67],Output,,,,PIN_W24,,,,,,,,,,,,,,
Response[66],Output,,,,PIN_AD19,,,,,,,,,,,,,,
Response[65],Output,,,,PIN_AJ26,,,,,,,,,,,,,,
Response[64],Output,,,,PIN_AG23,,,,,,,,,,,,,,
Response[63],Output,,,,PIN_AH2,,,,,,,,,,,,,,
Response[62],Output,,,,PIN_AG8,,,,,,,,,,,,,,
Response[61],Output,,,,PIN_AD12,,,,,,,,,,,,,,
Response[60],Output,,,,PIN_K7,,,,,,,,,,,,,,
Response[59],Output,,,,PIN_AF25,,,,,,,,,,,,,,
Response[58],Output,,,,PIN_V23,,,,,,,,,,,,,,
Response[57],Output,,,,PIN_AH30,,,,,,,,,,,,,,
Response[56],Output,,,,PIN_W21,,,,,,,,,,,,,,
Response[55],Output,,,,PIN_AB27,,,,,,,,,,,,,,
Response[54],Output,,,,PIN_AB17,,,,,,,,,,,,,,
Response[53],Output,,,,PIN_AF19,,,,,,,,,,,,,,
Response[52],Output,,,,PIN_AF28,,,,,,,,,,,,,,
Response[51],Output,,,,PIN_AK23,,,,,,,,,,,,,,
Response[50],Output,,,,PIN_AJ21,,,,,,,,,,,,,,
Response[49],Output,,,,PIN_F14,,,,,,,,,,,,,,
Response[48],Output,,,,PIN_AD17,,,,,,,,,,,,,,
Response[47],Output,,,,PIN_AC9,,,,,,,,,,,,,,
Response[46],Output,,,,PIN_AK2,,,,,,,,,,,,,,
Response[45],Output,,,,PIN_E3,,,,,,,,,,,,,,
Response[44],Output,,,,PIN_AF15,,,,,,,,,,,,,,
Response[43],Output,,,,PIN_AG20,,,,,,,,,,,,,,
Response[42],Output,,,,PIN_AK29,,,,,,,,,,,,,,
Response[41],Output,,,,PIN_AG28,,,,,,,,,,,,,,
Response[40],Output,,,,PIN_V25,,,,,,,,,,,,,,
Response[39],Output,,,,PIN_AE24,,,,,,,,,,,,,,
Response[38],Output,,,,PIN_AC27,,,,,,,,,,,,,,
Response[37],Output,,,,PIN_AC23,,,,,,,,,,,,,,
Response[36],Output,,,,PIN_AK28,,,,,,,,,,,,,,
Response[35],Output,,,,PIN_AE23,,,,,,,,,,,,,,
Response[34],Output,,,,PIN_AA25,,,,,,,,,,,,,,
Response[33],Output,,,,PIN_AG25,,,,,,,,,,,,,,
Response[32],Output,,,,PIN_AB26,,,,,,,,,,,,,,
Response[31],Output,,,,PIN_AH3,,,,,,,,,,,,,,
Response[30],Output,,,,PIN_AK4,,,,,,,,,,,,,,
Response[29],Output,,,,PIN_A11,,,,,,,,,,,,,,
Response[28],Output,,,,PIN_D6,,,,,,,,,,,,,,
Response[27],Output,,,,PIN_AE26,,,,,,,,,,,,,,
Response[26],Output,,,,PIN_AJ19,,,,,,,,,,,,,,
Response[25],Output,,,,PIN_AB21,,,,,,,,,,,,,,
Response[24],Output,,,,PIN_AD20,,,,,,,,,,,,,,
Response[23],Output,,,,PIN_AD27,,,,,,,,,,,,,,
Response[22],Output,,,,PIN_AK18,,,,,,,,,,,,,,
Response[21],Output,,,,PIN_AK24,,,,,,,,,,,,,,
Response[20],Output,,,,PIN_AK21,,,,,,,,,,,,,,
Response[19],Output,,,,PIN_AF30,,,,,,,,,,,,,,
Response[18],Output,,,,PIN_AJ22,,,,,,,,,,,,,,
Response[17],Output,,,,PIN_AK26,,,,,,,,,,,,,,
Response[16],Output,,,,PIN_AF20,,,,,,,,,,,,,,
Response[15],Output,,,,PIN_AF14,,,,,,,,,,,,,,
Response[14],Output,,,,PIN_AH17,,,,,,,,,,,,,,
Response[13],Output,,,,PIN_C10,,,,,,,,,,,,,,
Response[12],Output,,,,PIN_AG6,,,,,,,,,,,,,,
Response[11],Output,,,,PIN_AH27,,,,,,,,,,,,,,
Response[10],Output,,,,PIN_Y21,,,,,,,,,,,,,,
Response[9],Output,,,,PIN_AC30,,,,,,,,,,,,,,
Response[8],Output,,,,PIN_AB25,,,,,,,,,,,,,,
Response[7],Output,,,,PIN_AH23,,,,,,,,,,,,,,
Response[6],Output,,,,PIN_AG26,,,,,,,,,,,,,,
Response[5],Output,,,,PIN_AD25,,,,,,,,,,,,,,
Response[4],Output,,,,PIN_AG22,,,,,,,,,,,,,,
Response[3],Output,,,,PIN_AA30,,,,,,,,,,,,,,
Response[2],Output,,,,PIN_Y18,,,,,,,,,,,,,,
Response[1],Output,,,,PIN_AE19,,,,,,,,,,,,,,
Response[0],Output,,,,PIN_AF26,,,,,,,,,,,,,,
RST,Input,,,,PIN_F10,,,,,,,,,,,,,,
